lat,long,name
650.544,326.702,Papantla de Olarte
622.175,415.536,Pánuco
619.366,264.223,Panotla
640.187,241.159,Palmarito Tochapán
826.774,164.363,Palenque
604.088,308.485,Pachuca de Soto
602.047,248.786,Ozumba de Alzate
911.364,319.007,Oxkutzkab
738.199,191.601,Oteapan
657.937,238.511,Orizaba
614.819,11.907,Ometepec
730.662,187.539,Oluta
780.847,123.062,Ocozocoautla de Espinosa
580.186,26.174,Ocoyoacac
823.103,131.026,Ocosingo
670.379,139.816,Oaxaca de Juárez
677.756,1.362,Estado de Oaxaca
562.303,615.235,Estado de Nuevo León
578.256,715.259,Nuevo Laredo
656.116,237.428,Nogales
585.169,281.932,Nicolás Romero
614.209,24.948,Nealtican
587.385,273.195,Naucalpan de Juárez
638.616,376.687,Naranjos
746.779,195.407,Villa Nanchital
61.062,273.964,Ciudad de Nanacamilpa
901.607,32.899,Muna
915.809,362.583,Motul
818.011,459.072,Motozintla de Mendoza
59.529,232.928,Estado de Morelos
567.956,588.838,Montemorelos
619.471,250.815,Santiago Momoxpan
588.232,31.475,Mixquiahuala de Juarez
666.147,298.146,Misantla
632.911,430.301,Miramar
606.038,309.735,Mineral del Monte
741.934,191.432,Minatitlan
594.526,257.387,Milpa Alta
674.602,993.194,Miahuatlán de Porfirio Díaz
57.544,261.081,Metepec
904.804,355.932,Mérida
892.136,33.433,Maxcanú
725.937,129.513,Matías Romero
644.632,627.011,Heroica Matamoros
659.258,305.934,Martínez de la Torre
796.495,496.188,Mapastepec
617.658,452.794,Ursulo Galván
652.136,236.263,Maltrata
606.145,149.742,Malinaltepec
588.324,265.104,Magdalena Contreras
806.519,178.292,Macuspana
595.924,289.611,Reyes Acozac
596.046,266.842,Los Reyes La Paz
57.663,570.597,Linares
637.696,272.053,Libres
578.413,26.271,Lerma de Villada
710.094,22.626,Lerdo de Tejada
82.682,982.079,Las Margaritas
757.474,187.788,Las Choapas
579.896,228.322,La Joya
689.301,224.637,La Isla
631.298,343.633,La Ceiba
906.725,35.369,Kanasín
599.253,252.398,Juchitepec de Mariano Riva Palacio
726.585,105.027,Juchitán de Zaragoza
589.343,225.451,Jojutla
589.426,240.191,Jiutepec
577.715,299.363,Jilotepec de Molina Enríquez
791.131,20.122,Jalpa de Méndez
581.487,256.869,Xalatlaco
664.037,27.611,Xalapa de Enríquez
651.093,291.149,Jalacingo
612.938,224.721,Izúcar de Matamoros
924.561,353.721,Izamal
723.864,112.905,San Jerónimo Ixtepec
572.968,238.107,Ixtapan de la Sal
599.155,264.189,Ixtapaluca
593.076,2.665,Iztapalapa
659.255,238.734,Ixtac Zoquitlán
592.064,268.595,Iztacalco
588.133,328.463,Ixmiquilpan
1,370.069,Isla Mujeres
577.498,210.779,Iguala de la Independencia
896.275,358.245,Hunucmá
810.828,334.027,Huixtla
584.226,208.424,Huitzuco de los Figueroa
780.279,18.229,Huimanguillo
614.441,365.031,Huejutla de Reyes
61.484,25.556,Huejotzingo
626.465,311.624,Huauchinango
662.332,254.969,Huatusco de Chicuellar
635.548,180.854,Ciudad de Huajuapam de León
59.529,329.656,Estado de Hidalgo
887.763,311.822,Hecelchakán
65.843,327.085,Gutiérrez Zamora
562.303,173.049,Estado de Guerrero
821.484,621.592,Frontera Comalapa
804.909,221.501,Frontera
661.263,241.665,Fortín de las Flores
956.648,278.667,Felipe Carrillo Puerto
589.792,260.565,Distrito Federal
565.702,338.754,Ezequiel Montes
867.579,22.513,Escárcega
589.284,237.724,Emiliano Zapata
833.903,177.134,Emiliano Zapata
68.894,250.855,El Tejar
596.151,453.637,Ciudad Mante
584.742,305.633,El Llano
593.112,280.864,Ecatepec
890.318,319.628,Dzitbalché
787.502,195.097,Cunduacán
67.037,236.455,Cuitláhuac
668.493,13.496,Cuilapan de Guerrero
751.621,190.123,Cuichapa
587.678,242.662,Cuernavaca
619.325,251.672,Cuautlancingo
597.086,235.946,Cuautla Morelos
589.397,283.796,Cuautitlán
618.046,303.986,Cuautepec de Hinojosa
585.596,266.641,Cuajimalpa
99.291,329.712,San Miguel de Cozumel
588.265,289.706,Coyotepec
589.955,26.591,Coyoacán
739.262,191.359,Cosoleacaque
659.718,250.768,Heroica Coscomatepec de Bravo
700.894,211.791,Cosamaloapan de Carpio
663.531,240.436,Córdoba
622.787,264.949,San Bernardino Contla
821.767,944.526,Comitán
785.821,206.019,Comalcalco
645.818,328.937,Coatzintla
745.629,19.885,Coatzacoalcos
662.534,271.746,Coatepec
591.975,281.819,Coacalco
590.474,508.838,Ciudad Victoria
59.474,411.645,Ciudad Valles
646.517,246.161,Ciudad Serdán
609.319,289.615,Ciudad Sahagun
594.801,268.889,Ciudad Nezahualcoyotl
591.991,653.005,Ciudad Miguel Alemán
655.399,236.032,Ciudad Mendoza
633.679,427.616,Ciudad Madero
561.917,40.927,Ciudad Fernández
591.079,270.429,Mexico City
831.806,227.175,Ciudad del Carmen
76.952,11.873,Cintalapa de Figueroa
618.264,250.287,Cholula
578.606,166.633,Chilpancingo de los Bravos
589.471,169.065,Chilapa de Alvarez
62.723,293.102,Chignahuapan
598.627,277.666,Chiconcuac
598.522,269.788,San Vicente Chicoloapan
572.983,172.626,Chichihualco
939.449,338.869,Chichén-Itzá
608.373,208.138,Chiautla de Tapia
59.917,277.089,Chiautla
809.702,108.563,Estado de Chiapas
792.819,120.044,Chiapa de Corzo
94.812,219.891,Chetumal
96.024,338.286,Chemax
868.228,265.783,Champotón
598.663,261.214,Chalco de Díaz Covarrubias
636.824,367.905,Cerro Azul
723.476,21.476,Catemaco
70.235,212.188,Carlos A. Carrillo
574.097,412.646,Cardenas
78.082,191.548,Cárdenas
579.923,257.444,Capulhuac
99.619,366.927,Cancún
875.675,246.746,Estado de Campeche
874.762,293.067,Campeche
600.451,64.773,Camargo
609.483,279.284,Calpulalpan
89.048,322.418,Calkiní
574.901,255.769,Calimaya de Díaz González
568.394,340.589,Cadereyta de Montes
562.853,610.629,Cadereyta
571.994,260.737,Cacalomacan
820.706,252.549,Cacahoatán
796.766,135.993,Bochil
690.951,252.274,Boca del Río
784.249,125.064,Berriozábal
621.483,351.011,Benito Juárez
663.332,279.299,Banderilla
841.454,180.807,Balancán de Domínguez
945.167,229.119,Bacalar
589.156,273.663,Azcapotzalco
603.464,21.928,Axochiapan
61.389,24.167,Atlixco
602.593,247.956,Atlautla
566.468,290.986,Atlacomulco
586.702,279.107,Ciudad López Mateos
608.184,219.644,Atencingo
653.806,161.579,Asunción Nochixtlán
62.354,269.593,Apizaco
589.645,300.645,Apaxco de Ocampo
596.619,235.308,San Pedro Apatlaco
613.404,286.061,Apan
712.531,224.417,Angel R. Cabadas
595.672,233.973,Anenecuilco
633.057,423.773,Anahuac
626.792,249.295,Amozoc de Mota
602.993,253.592,Amecameca de Juárez
702.107,234.113,Heroica Alvarado
653.177,289.093,Altotonga
651.422,211.861,Altepexi
630.299,434.242,Altamira
747.262,200.048,Allende
625.796,463.504,Aldama
639.002,352.353,Álamo
652.763,212.384,Ajalpan
755.431,199.161,Agua Dulce
597.145,316.922,Actopan
730.073,188.646,Acayucan
635.377,245.661,Acatzingo de Hidalgo
626.672,202.666,Acatlán de Osorio
565.929,128.647,Acapulco de Juárez
799.556,111.611,Acala
629.891,252.502,Acajete
569.834,261.891,San Antonio Acahualco
601.447,259.179,Miraflores
573.161,259.298,Santiago Tlacotepec
67.114,137.766,San Antonio de la Cal
574.886,62.575,Hidalgo
796.494,179.469,Río de Teapa
639.706,264.669,El Carmen Tequesquitla
630.809,264.153,Huamantla
62.058,256.342,Santo Toribio Xicohtzingo
621.808,262.382,La Magdalena Tlaltelulco
620.369,258.676,Zacatelco
621.685,264.381,Tlaxcala de Xicohtencatl
621.551,256.066,Papalotla
621.609,254.853,Tenancingo
622.935,253.664,Vicente Guerrero
768.275,858.294,Tonalá
76.346,940.541,Arriaga
598.231,279.514,Tezoyuca
61.838,24.951,San Andrés Cholula
608.356,208.055,Ciudad de Chiautla de Tapia
996.173,362.144,Alfredo V. Bonfil
687.725,255.145,Las Amapolas
63.261,426.676,Tampico
646.685,354.729,Alto Lucero
713.996,191.135,Juan Rodríguez Clara
575.384,265.138,San Mateo Otzacatipan
575.736,263.689,Santa María Totoltepec
578.488,261.402,San Pedro Tultepec
576.579,255.759,San Antonio la Isla
580.065,264.602,San Mateo Atarasquíllo
584.551,264.925,San Lorenzo Acopilco
590.089,268.767,Benito Juarez
592.082,271.225,Venustiano Carranza
588.663,270.774,Miguel Hidalgo
59.047,271.346,Cuauhtémoc
583.739,266.637,Huixquilucan
584.806,301.714,San Miguel Vindho
589.199,292.439,San Pedro Xalpa
590.546,285.574,Melchor Ocampo
586.832,284.363,Huilango
591.219,283.111,Santiago Teyahualco
59.496,284.348,Ojo de Agua
589.701,280.371,Buenavista
1.837,790.651,Miguel Alemán (La Doce)
319.284,541.046,Eldorado
277.399,614.957,Leyva Solano
411.716,259.824,Cihuatlán
640.305,981.286,Guadalupe Victoria
535.031,294.337,Zinapécuaro
511.104,171.765,Ixtapa-Zihuatanejo
53.188,771.467,Zaragoza
461.112,336.426,Zapotlanejo
449.571,28.143,Zapotiltic
450.651,342.013,Zapopan
486.966,301.218,Zamora
444.584,314.631,Zacoalco de Torres
463.344,46.784,Estado de Zacatecas
477.152,45.504,Zacatecas
503.244,291.733,Zacapú
524.959,313.672,Yuriria
486.981,320.668,Yurécuaro
467.101,36.723,Yahualica de González Gallo
357.244,478.266,Villa Unión
467.183,432.273,Villanueva
237.742,696.036,Villa Juarez
389.752,398.297,Villa Hidalgo
476.917,394.834,Villa Hidalgo
529.401,330.459,Villagrán
514.403,684.961,Ciudad Frontera
50.826,26.921,Villa Escalante
542.706,623.239,García
439.007,261.517,Ciudad de Villa de Álvarez
47.475,308.423,Venustiano Carranza
525.107,331.449,Valtierrilla
44.453,45.516,Valparaíso
523.077,323.754,Valle de Santiago
557.885,257.462,Valle de Bravo
494.468,269.473,Uruapan
523.296,309.805,Uriangato
450.945,277.454,Tuxpan
484.245,453.187,Trancoso
470.198,331.987,Tototlán
449.523,608.449,Torreon
455.617,336.535,Tonalá
45.367,337.445,Tlaquepaque
448.614,328.231,Tlajomulco de Zúñiga
461.893,310.939,Tizapán el Alto
140.984,993.085,Tijuana
447.842,346.267,Tesistán
435.777,350.769,Tequila
400.811,385.455,Tepic
471.146,347.174,Tepatitlán de Morelos
468.315,257.064,Tepalcatepec
47.738,381.293,Teocaltiche
557.265,241.482,Tejupilco de Hidalgo
38.226,434.573,Tecuala
541.152,148.514,Tecpan de Galeana
434.386,242.147,Tecoman
138.992,996.648,Tecate
45.321,272.826,Tecalitlan
537.362,317.885,Tarimoro
489.523,295.792,Tangancícuaro de Arista
455.051,284.336,Tamazula de Gordiano
440.223,338.146,Tala
514.201,259.737,Tacámbaro de Codallos
210.447,817.903,Estado de Sonora
442.152,502.919,Sombrerete
531.233,422.945,Soledad Díez Gutiérrez
314.904,578.386,Estado de Sinaloa
515.231,354.173,Silao
443.543,295.511,Sayula
387.681,745.894,Saucillo
383.544,580.812,Santiago Papasquiaro
390.495,402.227,Santiago Ixcuintla
557.288,601.895,Santiago
157.637,70.775,Santa Rosalia
547.511,342.989,Santa Rosa Jauregui
537.954,401.299,Santa María del Río
119.618,760.841,Santa Isabel
44.905,331.499,Santa Cruz del Valle
446.759,328.582,Santa Cruz de las Flores
547.191,615.599,Santa Catarina
370.354,678.169,Santa Bárbara
448.699,33.247,Santa Anita
44.883,332.451,Santa Anita
495.808,321.212,Santa Ana Pacueco
195.465,884.746,Santa Ana
449.599,330.578,San Sebastián el Grande
456.197,602.338,San Pedro
552.334,619.381,San Nicolás de los Garza
537.636,333.762,San Miguel Octopan
482.999,358.957,San Miguel el Alto
386.274,569.033,San Miguel de Papasquiaro
537.765,35.261,San Miguel de Allende
750.308,99.051,San Luis Río Colorado
54.581,440.203,Estado de San Luis Potosí
530.004,420.847,San Luis Potosí
545.269,373.798,San Luis de la Paz
545.257,373.757,San Luis de la Paz
235.328,461.808,Cabo San Lucas
490.401,357.897,San Julián
485.384,371.051,San Juan de los Lagos
537.187,336.577,San Juan de la Vega
391.052,347.059,San Juan de Abajo
549.631,357.378,San José Iturbide
455.494,330.433,San José del Castillo
242.409,471.094,San José del Cabo
430.357,289.123,San Gabriel
501.108,358.312,San Francisco del Rincón
728.099,91.139,San Felipe
522.194,383.701,San Felipe
453.349,400.528,Tlaltenango de Sánchez Román
51.121,692.356,San Buenaventura
447.965,33.222,Nicolás R Casillas
533.301,313.765,Salvatierra
529.142,601.778,Saltillo
505.759,447.275,Salinas de Hidalgo
522.999,333.634,Salamanca
47.272,305.258,Sahuayo de Morelos
556.304,661.494,Sabinas Hidalgo
525.445,736.242,Ciudad Sabinas
392.627,409.862,Estación Ruiz
0,985.222,Rosarito
512.268,350.178,Romita
462.343,513.521,Río Grande
537.394,325.457,Rincón de Tamayo
485.703,425.179,Rincón de Romos
531.051,608.194,Ramos Arizpe
512.069,283.535,Quiroga
549.503,334.524,Santiago de Querétaro
512.303,306.931,Puruándiro
496.124,297.067,Puréparo de Echaíz
389.778,336.123,Puerto Vallarta
115.732,927.556,Puerto Peñasco
231.302,708.566,Pueblo Yaqui
465.799,323.003,Poncitlán
443.319,620.972,Poanas
545.034,782.901,Piedras Negras
520.477,165.919,Petatlán
482.647,275.498,Peribán de Ramos
505.524,32.591,Pénjamo
509.232,275.264,Pátzcuaro
490.419,602.793,Parras de la Fuente
494.715,282.533,Paracho de Verduzco
515.357,738.254,Palau
488.084,443.888,Ojo Caliente
412.384,830.813,Ojinaga
470.813,321.658,Ocotlán
492.013,269.882,Nuevo San Juan Parangaricutiro
448.732,343.834,Nuevo México
301.325,87.772,Nuevo Casas Grandes
522.122,740.905,Nueva Rosita
493.257,248.124,Nueva Italia de Ruiz
468.404,377.493,Nochistlán
397.371,412.566,Estado de Nayarit
